gene_ID,ntf
AT1G67320,EMB2813
AT3G23890,TOPII
AT3G58780,SHP1
AT1G15910,FDM1
AT1G23400,CAF2
AT1G03160,FZL
AT4G05520,EHD2
AT1G31860,AT-IE
AT4G14690,ELIP2
AT4G39800,MIPS1
AT1G79880,La2
AT4G16700,PSD1
AT5G48300,ADG1
AT1G55970,HAC4
AT1G13270,MAP1C
AT3G55990,ESK1
AT4G36650,PBRP
AT1G72670,iqd8
AT5G27000,ATK4
AT4G22745,MBD1
AT2G20610,SUR1
AT1G53140,DRP5A
AT5G17810,WOX12
AT4G20940,GHR1
AT3G23580,RNR2A
AT4G02430,SR34b
AT4G15393,CYP702A5
AT5G44280,RING1A
AT4G15530,PPDK
AT2G37380,MAKR3
AT2G01430,HB17
AT1G16330,CYCB3;1
AT5G59800,MBD7
AT5G19620,OEP80
AT5G17990,TRP1
AT3G56170,CAN
AT5G26910,TRM8
AT3G14362,RTFL10
AT2G45660,AGL20
AT4G21430,B160
AT4G23920,UGE2
AT3G48690,CXE12
AT2G01420,PIN4
AT4G11080,3xHMG-box1
AT5G50210,QS
AT3G54220,SCR
AT4G12400,Hop3
AT2G24520,HA5
AT5G44635,MCM6
AT5G01510,RUS5
AT2G33500,BBX12
AT2G02740,WHY3
AT2G41700,ABCA1
AT1G78540,SHB
AT5G23050,AAE17
AT4G35620,CYCB2;2
AT1G67630,POLA2
AT5G41480,GLA1
AT5G67280,RLK
AT5G52440,HCF106
AT1G49630,PREP2
AT1G10970,ZIP4
AT1G13220,LINC2
AT4G33260,CDC20.2
AT2G41070,EEL
AT5G52230,MBD13
AT2G46310,CRF5
AT5G26570,PWD
AT3G42658,SADHU3-2
AT3G18524,MSH2
AT1G03780,TPX2
AT3G42640,HA8
AT2G01735,RIE1
AT5G43270,SPL2
AT1G08560,SYP111
AT2G19810,OZF1
AT2G36490,DML1
AT1G03840,MGP
AT5G43700,ATAUX2-11
AT5G44190,GLK2
AT1G15340,MBD10
AT3G10160,DFC
AT1G80110,PP2-B11
AT1G77690,LAX3
AT3G24890,VAMP728
AT2G26150,HSFA2
AT2G17270,PHT3;3
AT5G54260,MRE11
AT1G56260,MDO1
AT3G54350,emb1967
AT1G04610,YUC3
AT4G00930,CIP4.1
AT5G43650,BHLH92
AT4G25880,PUM6
AT5G13630,GUN5
AT5G03740,HD2C
AT5G67030,ABA1
AT5G59570,BOA
AT2G47620,SWI3A
AT4G35760,LTO1
AT3G15850,FAD5
AT4G26760,MAP65-2
AT5G02750,SGR9
AT1G72310,ATL3
AT4G09030,AGP10
AT1G80370,CYCA2;4
AT5G02380,MT2B
AT1G36180,ACC2
AT2G02500,ISPD
AT2G02130,LCR68
AT5G23570,SGS3
AT3G45890,RUS1
AT2G17900,SDG37
AT1G13690,ATE1
AT1G78510,SPS1
AT3G30180,BR6OX2
AT5G48600,SMC3
AT5G26980,SYP41
AT3G43210,TES
AT4G34020,DJ1C
